        Step,        Time,           U,           T,           H
      187000,1869.99995820,-33.76961084, 11.15015779,-22.61945305
      188000,1879.99995798,-33.06182667, 10.45757296,-22.60425371
      189000,1889.99995776,-37.11311650, 14.48669791,-22.62641860
      190000,1899.99995753,-36.13306123, 13.53091105,-22.60215018
      191000,1909.99995731,-38.48476781, 15.86398121,-22.62078659
      192000,1919.99995708,-33.78046101, 11.16994593,-22.61051508
      193000,1929.99995686,-36.78317739, 14.18475011,-22.59842728
      194000,1939.99995664,-35.60196345, 12.99449870,-22.60746475
      195000,1949.99995641,-36.75441359, 14.14747827,-22.60693533
      196000,1959.99995619,-36.32679603, 13.72017160,-22.60662443
      197000,1969.99995597,-33.78624667, 11.19024780,-22.59599887
      198000,1979.99995574,-36.92801093, 14.33517658,-22.59283435
      199000,1989.99995552,-33.91616869, 11.32058986,-22.59557883
      200000,1999.99995530,-36.61973862, 14.01174141,-22.60799722
      201000,2009.99995507,-34.26332306, 11.66558487,-22.59773820
      202000,2019.99995485,-36.28769626, 13.66066203,-22.62703423
      203000,2029.99995463,-36.85675433, 14.26889948,-22.58785485
      204000,2039.99995440,-36.29885117, 13.70323077,-22.59562040
      205000,2049.99995418,-38.58094974, 15.99118597,-22.58976377
      206000,2059.99995396,-41.17618311, 18.55453026,-22.62165284
      207000,2069.99995373,-36.02270975, 13.43940457,-22.58330518
      208000,2079.99995351,-37.87981411, 15.30072460,-22.57908950
      209000,2089.99995328,-40.80036070, 18.18254504,-22.61781566
      210000,2099.99995306,-31.07077542,  8.51169418,-22.55908124
      211000,2109.99995284,-36.39132069, 13.81224813,-22.57907256
      212000,2119.99995261,-33.60602191, 11.03539007,-22.57063184
      213000,2129.99995239,-38.86467286, 16.26457172,-22.60010114
      214000,2139.99995217,-35.33867707, 12.75604425,-22.58263283
      215000,2149.99995194,-33.86810378, 11.28544460,-22.58265917
      216000,2159.99995172,-36.33384013, 13.73871295,-22.59512718
      217000,2169.99995150,-37.85700403, 15.27095600,-22.58604803
      218000,2179.99995127,-35.60683735, 13.02695317,-22.57988418
      219000,2189.99995105,-38.64799280, 16.03928988,-22.60870292
      220000,2199.99995083,-36.96792555, 14.39113209,-22.57679346
      221000,2209.99995060,-37.43647513, 14.84834175,-22.58813338
      222000,2219.99995038,-36.13632896, 13.53113304,-22.60519593
      223000,2229.99995016,-34.90114942, 12.33845058,-22.56269884
      224000,2239.99994993,-37.08678692, 14.50267015,-22.58411678
      225000,2249.99994971,-36.68899048, 14.10604721,-22.58294327
      226000,2259.99994949,-35.71317098, 13.13984574,-22.57332524
      227000,2269.99994926,-35.37378732, 12.79818892,-22.57559841
      228000,2279.99994904,-35.81716547, 13.25698436,-22.56018111
      229000,2289.99994881,-31.75393597,  9.18310626,-22.57082971
      230000,2299.99994859,-38.46032062, 15.88075424,-22.57956637
      231000,2309.99994837,-34.10669714, 11.52778962,-22.57890751
      232000,2319.99994814,-33.82700639, 11.25693745,-22.57006894
      233000,2329.99994792,-39.03600160, 16.46741404,-22.56858756
      234000,2339.99994770,-34.55156723, 11.96130547,-22.59026176
      235000,2349.99994747,-37.61516607, 15.01460025,-22.60056582
      236000,2359.99994725,-35.42346115, 12.84300836,-22.58045279
      237000,2369.99994703,-37.83256661, 15.26471299,-22.56785362
      238000,2379.99994680,-38.63986129, 16.07665308,-22.56320821
      239000,2389.99994658,-36.04554838, 13.47171496,-22.57383341
      240000,2399.99994636,-38.86143411, 16.28567705,-22.57575706
      241000,2409.99994613,-34.72019438, 12.15163956,-22.56855482
      242000,2419.99994591,-38.53358287, 15.95838099,-22.57520188
      243000,2429.99994569,-34.88428949, 12.32720869,-22.55708080
      244000,2439.99994546,-33.72907929, 11.16208679,-22.56699249
      245000,2449.99994524,-37.34127095, 14.77285736,-22.56841360
      246000,2459.99994501,-41.38325414, 18.78990466,-22.59334949
      247000,2469.99994479,-32.83943981, 10.27412088,-22.56531892
      248000,2479.99994457,-38.21757559, 15.63313731,-22.58443829
      249000,2489.99994434,-35.83540937, 13.25919825,-22.57621112
      250000,2499.99994412,-34.56492654, 11.99376759,-22.57115895
      251000,2509.99994390,-34.24279790, 11.67306647,-22.56973144
      252000,2519.99994367,-35.58523092, 13.01420291,-22.57102801
      253000,2529.99994345,-35.01149088, 12.41648434,-22.59500654
      254000,2539.99994323,-33.38596217, 10.81118629,-22.57477588
      255000,2549.99994300,-37.01302819, 14.43302976,-22.57999843
      256000,2559.99994278,-35.90866106, 13.32284866,-22.58581239
      257000,2569.99994256,-32.81666078, 10.23255486,-22.58410593
      258000,2579.99994233,-38.18072363, 15.59013678,-22.59058685
      259000,2589.99994211,-38.74413463, 16.16684661,-22.57728802
      260000,2599.99994189,-36.71945402, 14.13722122,-22.58223280
      261000,2609.99994166,-40.80451726, 18.20886358,-22.59565368
      262000,2619.99994144,-35.44710022, 12.85651565,-22.59058457
      263000,2629.99994121,-36.59285136, 14.00461663,-22.58823473
      264000,2639.99994099,-36.56161741, 13.96402118,-22.59759623
      265000,2649.99994077,-34.64690075, 12.05214645,-22.59475430
      266000,2659.99994054,-35.75978856, 13.17434073,-22.58544782
      267000,2669.99994032,-33.69597473, 11.11987165,-22.57610308
      268000,2679.99994010,-39.19239762, 16.61412200,-22.57827561
      269000,2689.99993987,-33.30483859, 10.71510663,-22.58973195
      270000,2699.99993965,-36.52091417, 13.91148036,-22.60943381
      271000,2709.99993943,-33.83630192, 11.25731297,-22.57898895
      272000,2719.99993920,-35.27055452, 12.70504688,-22.56550764
      273000,2729.99993898,-36.75842484, 14.19599185,-22.56243298
      274000,2739.99993876,-34.73357707, 12.16518165,-22.56839543
      275000,2749.99993853,-36.83556924, 14.25837604,-22.57719320
      276000,2759.99993831,-37.49012739, 14.92480178,-22.56532561
      277000,2769.99993809,-33.23345276, 10.66789317,-22.56555960
      278000,2779.99993786,-39.17206662, 16.59404373,-22.57802289
      279000,2789.99993764,-37.30822246, 14.73367104,-22.57455142
      280000,2799.99993742,-34.44045333, 11.88842227,-22.55203106
      281000,2809.99993719,-36.98159728, 14.41999017,-22.56160711
      282000,2819.99993697,-36.19989248, 13.64975897,-22.55013351
      283000,2829.99993674,-39.18784490, 16.62017410,-22.56767081
      284000,2839.99993652,-35.02625304, 12.46394372,-22.56230932
      285000,2849.99993630,-35.06204292, 12.51587789,-22.54616503
      286000,2859.99993607,-33.73990932, 11.20175491,-22.53815441
      287000,2869.99993585,-37.15829137, 14.58493188,-22.57335950
      288000,2879.99993563,-37.13930406, 14.59500841,-22.54429565
      289000,2889.99993540,-33.02430639, 10.49260716,-22.53169923
      290000,2899.99993518,-34.59694225, 12.05370702,-22.54323523
      291000,2909.99993496,-33.53430807, 10.99320797,-22.54110009
      292000,2919.99993473,-40.39042548, 17.82200158,-22.56842391
      293000,2929.99993451,-33.72242294, 11.18464697,-22.53777597
      294000,2939.99993429,-36.09219824, 13.54599749,-22.54620075
      295000,2949.99993406,-37.79115658, 15.22085041,-22.57030617
      296000,2959.99993384,-34.97776560, 12.44619484,-22.53157075
      297000,2969.99993362,-36.54109562, 14.00601477,-22.53508085
      298000,2979.99993339,-35.84502679, 13.30878477,-22.53624203
      299000,2989.99993317,-34.62416749, 12.08514051,-22.53902698
      300000,2999.99993294,-40.91099381, 18.36411039,-22.54688341
      301000,3009.99993272,-37.34440845, 14.78656010,-22.55784835
      302000,3019.99993250,-34.72368592, 12.16098415,-22.56270177
      303000,3029.99993227,-39.99292432, 17.41967514,-22.57324918
      304000,3039.99993205,-40.04774852, 17.48352859,-22.56421993
      305000,3049.99993183,-33.90736024, 11.34390012,-22.56346011
      306000,3059.99993160,-34.45796934, 11.91677041,-22.54119893
      307000,3069.99993138,-36.93432489, 14.36828597,-22.56603892
      308000,3079.99993116,-35.44428742, 12.91622946,-22.52805796
      309000,3089.99993093,-38.12548238, 15.57960925,-22.54587313
      310000,3099.99993071,-39.19722917, 16.65065550,-22.54657367
      311000,3109.99993049,-35.85932469, 13.35780072,-22.50152397
      312000,3119.99993026,-36.86439643, 14.30107259,-22.56332383
      313000,3129.99993004,-33.04331520, 10.52037661,-22.52293859
      314000,3139.99992982,-38.93305682, 16.39842566,-22.53463117
      315000,3149.99992959,-33.51414553, 10.98962678,-22.52451875
      316000,3159.99992937,-38.11184150, 15.59079497,-22.52104653
      317000,3169.99992914,-35.57741971, 13.05443177,-22.52298794
      318000,3179.99992892,-34.89355182, 12.37353864,-22.52001318
      319000,3189.99992870,-35.64180476, 13.12425251,-22.51755225
      320000,3199.99992847,-38.30283797, 15.77157207,-22.53126590
      321000,3209.99992825,-35.20691751, 12.68806034,-22.51885717
      322000,3219.99992803,-34.60350965, 12.08484019,-22.51866946
      323000,3229.99992780,-36.49922456, 13.96270373,-22.53652084
      324000,3239.99992758,-37.92170520, 15.38892693,-22.53277827
      325000,3249.99992736,-35.33310501, 12.81532936,-22.51777565
      326000,3259.99992713,-34.77761031, 12.25636968,-22.52124062
      327000,3269.99992691,-36.75947338, 14.23541242,-22.52406096
      328000,3279.99992669,-37.57936763, 15.03905496,-22.54031267
      329000,3289.99992646,-34.96574882, 12.43683576,-22.52891305
      330000,3299.99992624,-40.30940519, 17.77521126,-22.53419393
      331000,3309.99992602,-36.31122190, 13.78893509,-22.52228680
      332000,3319.99992579,-36.45280990, 13.93782351,-22.51498639
      333000,3329.99992557,-38.00980572, 15.48579358,-22.52401215
      334000,3339.99992535,-33.44256707, 10.93529092,-22.50727615
      335000,3349.99992512,-35.15112910, 12.62927005,-22.52185904
      336000,3359.99992490,-36.62033784, 14.10063148,-22.51970636
      337000,3369.99992467,-36.75735829, 14.26546661,-22.49189168
      338000,3379.99992445,-32.74440719, 10.25468345,-22.48972374
      339000,3389.99992423,-35.43004651, 12.94044316,-22.48960335
      340000,3399.99992400,-36.75615657, 14.25651724,-22.49963932
      341000,3409.99992378,-36.07250107, 13.58163192,-22.49086915
      342000,3419.99992356,-33.51582585, 11.04388343,-22.47194241
      343000,3429.99992333,-40.24338892, 17.75160789,-22.49178103
      344000,3439.99992311,-34.28473038, 11.79024681,-22.49448357
      345000,3449.99992289,-33.87892088, 11.40946009,-22.46946079
      346000,3459.99992266,-35.21926338, 12.70479306,-22.51447032
      347000,3469.99992244,-36.95964216, 14.45735584,-22.50228632
      348000,3479.99992222,-38.78374556, 16.27684765,-22.50689791
      349000,3489.99992199,-35.15784200, 12.66005022,-22.49779178
      350000,3499.99992177,-37.50724905, 15.01597825,-22.49127080
      351000,3509.99992155,-35.52162059, 13.02279119,-22.49882940
      352000,3519.99992132,-32.68337941, 10.18741678,-22.49596263
      353000,3529.99992110,-35.31384534, 12.80340253,-22.51044282
      354000,3539.99992087,-36.87426993, 14.36571634,-22.50855360
      355000,3549.99992065,-38.63112299, 16.11906093,-22.51206206
      356000,3559.99992043,-35.42879659, 12.92275406,-22.50604253
      357000,3569.99992020,-35.56260969, 13.06751008,-22.49509960
      358000,3579.99991998,-33.79133921, 11.30455855,-22.48678066
      359000,3589.99991976,-36.38367175, 13.88272988,-22.50094187
      360000,3599.99991953,-35.29098699, 12.79857563,-22.49241135
      361000,3609.99991931,-35.94527096, 13.43500623,-22.51026473
      362000,3619.99991909,-34.51792538, 12.01986845,-22.49805694
      363000,3629.99991886,-35.42007097, 12.90140162,-22.51866935
      364000,3639.99991864,-33.97416239, 11.46894508,-22.50521732
      365000,3649.99991842,-31.49125047,  8.97006853,-22.52118194
      366000,3659.99991819,-33.96573003, 11.43205223,-22.53367780
      367000,3669.99991797,-36.33294706, 13.80535445,-22.52759260
      368000,3679.99991775,-39.24134015, 16.69322419,-22.54811595
      369000,3689.99991752,-36.82802810, 14.29517881,-22.53284929
      370000,3699.99991730,-35.48705024, 12.94726107,-22.53978917
      371000,3709.99991708,-35.76874265, 13.22505463,-22.54368802
      372000,3719.99991685,-35.08428630, 12.54747139,-22.53681492
      373000,3729.99991663,-33.78776824, 11.24551865,-22.54224960
      374000,3739.99991640,-38.83801622, 16.26005099,-22.57796523
      375000,3749.99991618,-36.38831395, 13.83074987,-22.55756408
      376000,3759.99991596,-33.95025630, 11.39451375,-22.55574255
      377000,3769.99991573,-36.55713209, 13.99896110,-22.55817099
      378000,3779.99991551,-32.13109068,  9.56118166,-22.56990902
      379000,3789.99991529,-32.08943874,  9.54116079,-22.54827796
      380000,3799.99991506,-35.82275668, 13.25064367,-22.57211301
      381000,3809.99991484,-38.35438372, 15.77459697,-22.57978675
      382000,3819.99991462,-37.58033961, 14.99277565,-22.58756396
      383000,3829.99991439,-32.91978926, 10.36165459,-22.55813467
      384000,3839.99991417,-38.61572373, 16.02870162,-22.58702211
      385000,3849.99991395,-35.96675447, 13.37893814,-22.58781632
      386000,3859.99991372,-35.91678580, 13.33249008,-22.58429572
      387000,3869.99991350,-40.35847444, 17.72770071,-22.63077373
      388000,3879.99991328,-35.82242310, 13.25236608,-22.57005702
      389000,3889.99991305,-38.01613355, 15.43845277,-22.57768079
      390000,3899.99991283,-38.48090852, 15.89281868,-22.58808985
      391000,3909.99991260,-39.38323585, 16.79717594,-22.58605991
      392000,3919.99991238,-33.91773059, 11.34959824,-22.56813236
      393000,3929.99991216,-37.41543487, 14.83226350,-22.58317137
      394000,3939.99991193,-37.84291986, 15.24869917,-22.59422069
      395000,3949.99991171,-37.83351397, 15.24524168,-22.58827230
      396000,3959.99991149,-34.03951930, 11.46336529,-22.57615401
      397000,3969.99991126,-39.18484373, 16.58998572,-22.59485801
      398000,3979.99991104,-34.49368113, 11.91153845,-22.58214268
      399000,3989.99991082,-33.34436592, 10.76214960,-22.58221631
      400000,3999.99991059,-36.71642093, 14.11130955,-22.60511139
      401000,4009.99991037,-35.23843352, 12.61957745,-22.61885607
      402000,4019.99991015,-37.68487644, 15.08284144,-22.60203499
      403000,4029.99990992,-38.77128750, 16.14003787,-22.63124963
      404000,4039.99990970,-36.81409041, 14.22264601,-22.59144440
      405000,4049.99990948,-38.61822796, 16.00902635,-22.60920161
      406000,4059.99990925,-35.26962725, 12.67894110,-22.59068614
      407000,4069.99990903,-37.73089099, 15.10925965,-22.62163135
      408000,4079.99990880,-33.71815918, 11.11684874,-22.60131044
      409000,4089.99990858,-35.45032682, 12.86051139,-22.58981543
      410000,4099.99990836,-36.28109596, 13.68759167,-22.59350429
      411000,4109.99990813,-34.33335764, 11.76413148,-22.56922616
      412000,4119.99990791,-35.33737427, 12.74361524,-22.59375903
      413000,4129.99990769,-39.09813679, 16.47044986,-22.62768693
      414000,4139.99990746,-35.68732715, 13.09483351,-22.59249364
      415000,4149.99990724,-33.68324563, 11.12454596,-22.55869967
      416000,4159.99990702,-34.68876932, 12.08623284,-22.60253648
      417000,4169.99990679,-36.98348512, 14.38007333,-22.60341179
      418000,4179.99990657,-32.78478733, 10.19855048,-22.58623685
      419000,4189.99990635,-38.22121965, 15.61487615,-22.60634350
      420000,4199.99990612,-37.00621226, 14.41133952,-22.59487274
      421000,4209.99990590,-35.26351264, 12.67622991,-22.58728273
      422000,4219.99990568,-33.83060488, 11.24354295,-22.58706192
      423000,4229.99990545,-38.09570839, 15.45097552,-22.64473287
      424000,4239.99990523,-35.41153365, 12.81804397,-22.59348968
      425000,4249.99990501,-38.84225146, 16.24562095,-22.59663052
      426000,4259.99990478,-35.09097968, 12.48178143,-22.60919826
      427000,4269.99990456,-38.44206652, 15.82247247,-22.61959405
      428000,4279.99990433,-37.34300704, 14.74560886,-22.59739818
      429000,4289.99990411,-32.77551778, 10.18692573,-22.58859205
      430000,4299.99990389,-34.96471404, 12.36467851,-22.60003553
      431000,4309.99990366,-38.42024733, 15.81044424,-22.60980310
      432000,4319.99990344,-34.58667934, 11.99327229,-22.59340705
      433000,4329.99990322,-36.78900141, 14.19570510,-22.59329632
      434000,4339.99990299,-38.15254793, 15.52561882,-22.62692911
      435000,4349.99990277,-37.33641494, 14.70462600,-22.63178894
      436000,4359.99990255,-34.62669441, 12.01893920,-22.60775521
      437000,4369.99990232,-40.71565666, 18.06940163,-22.64625503
